country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Angola,AO,AGO,24,Exclusively Breastfed for the First Two Days After Birth,2015,85.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Angola,AO,AGO,24,Exclusively Breastfed for the First Two Days After Birth,2015,84.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Angola,AO,AGO,24,Exclusively Breastfed for the First Two Days After Birth,2015,84.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Armenia,AM,ARM,51,Exclusively Breastfed for the First Two Days After Birth,2000,84.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Armenia,AM,ARM,51,Exclusively Breastfed for the First Two Days After Birth,2005,84.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Armenia,AM,ARM,51,Exclusively Breastfed for the First Two Days After Birth,2010,88.3,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Armenia,AM,ARM,51,Exclusively Breastfed for the First Two Days After Birth,2016,83.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Armenia,AM,ARM,51,Exclusively Breastfed for the First Two Days After Birth,2000,86.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Armenia,AM,ARM,51,Exclusively Breastfed for the First Two Days After Birth,2005,89.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Armenia,AM,ARM,51,Exclusively Breastfed for the First Two Days After Birth,2010,85.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Armenia,AM,ARM,51,Exclusively Breastfed for the First Two Days After Birth,2016,82.8,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Armenia,AM,ARM,51,Exclusively Breastfed for the First Two Days After Birth,2000,85.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Armenia,AM,ARM,51,Exclusively Breastfed for the First Two Days After Birth,2005,87.0,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Armenia,AM,ARM,51,Exclusively Breastfed for the First Two Days After Birth,2010,86.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Armenia,AM,ARM,51,Exclusively Breastfed for the First Two Days After Birth,2016,83.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Azerbaijan,AZ,AZE,31,Exclusively Breastfed for the First Two Days After Birth,2006,49.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Azerbaijan,AZ,AZE,31,Exclusively Breastfed for the First Two Days After Birth,2006,54.1,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Azerbaijan,AZ,AZE,31,Exclusively Breastfed for the First Two Days After Birth,2006,51.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bangladesh,BD,BGD,50,Exclusively Breastfed for the First Two Days After Birth,2007,39.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bangladesh,BD,BGD,50,Exclusively Breastfed for the First Two Days After Birth,2011,61.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bangladesh,BD,BGD,50,Exclusively Breastfed for the First Two Days After Birth,2014,72.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bangladesh,BD,BGD,50,Exclusively Breastfed for the First Two Days After Birth,2018,69.8,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bangladesh,BD,BGD,50,Exclusively Breastfed for the First Two Days After Birth,2019,75.3,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bangladesh,BD,BGD,50,Exclusively Breastfed for the First Two Days After Birth,2007,39.9,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bangladesh,BD,BGD,50,Exclusively Breastfed for the First Two Days After Birth,2011,59.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bangladesh,BD,BGD,50,Exclusively Breastfed for the First Two Days After Birth,2014,70.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bangladesh,BD,BGD,50,Exclusively Breastfed for the First Two Days After Birth,2018,70.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bangladesh,BD,BGD,50,Exclusively Breastfed for the First Two Days After Birth,2019,73.5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bangladesh,BD,BGD,50,Exclusively Breastfed for the First Two Days After Birth,2007,39.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bangladesh,BD,BGD,50,Exclusively Breastfed for the First Two Days After Birth,2011,60.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bangladesh,BD,BGD,50,Exclusively Breastfed for the First Two Days After Birth,2013,74.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bangladesh,BD,BGD,50,Exclusively Breastfed for the First Two Days After Birth,2014,71.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bangladesh,BD,BGD,50,Exclusively Breastfed for the First Two Days After Birth,2018,70.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bangladesh,BD,BGD,50,Exclusively Breastfed for the First Two Days After Birth,2019,74.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Barbados,BB,BRB,52,Exclusively Breastfed for the First Two Days After Birth,2012,48.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Belarus,BY,BLR,112,Exclusively Breastfed for the First Two Days After Birth,2019,40.0,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Belarus,BY,BLR,112,Exclusively Breastfed for the First Two Days After Birth,2019,41.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Belarus,BY,BLR,112,Exclusively Breastfed for the First Two Days After Birth,2012,47.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Belarus,BY,BLR,112,Exclusively Breastfed for the First Two Days After Birth,2019,40.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Belize,BZ,BLZ,84,Exclusively Breastfed for the First Two Days After Birth,2011,70.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Belize,BZ,BLZ,84,Exclusively Breastfed for the First Two Days After Birth,2015,78.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Benin,BJ,BEN,204,Exclusively Breastfed for the First Two Days After Birth,2001,62.0,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Benin,BJ,BEN,204,Exclusively Breastfed for the First Two Days After Birth,2006,74.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Benin,BJ,BEN,204,Exclusively Breastfed for the First Two Days After Birth,2012,77.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Benin,BJ,BEN,204,Exclusively Breastfed for the First Two Days After Birth,2018,79.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Benin,BJ,BEN,204,Exclusively Breastfed for the First Two Days After Birth,2001,62.5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Benin,BJ,BEN,204,Exclusively Breastfed for the First Two Days After Birth,2006,74.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Benin,BJ,BEN,204,Exclusively Breastfed for the First Two Days After Birth,2012,76.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Benin,BJ,BEN,204,Exclusively Breastfed for the First Two Days After Birth,2018,78.8,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Benin,BJ,BEN,204,Exclusively Breastfed for the First Two Days After Birth,2001,62.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Benin,BJ,BEN,204,Exclusively Breastfed for the First Two Days After Birth,2006,74.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Benin,BJ,BEN,204,Exclusively Breastfed for the First Two Days After Birth,2012,76.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Benin,BJ,BEN,204,Exclusively Breastfed for the First Two Days After Birth,2014,75.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Benin,BJ,BEN,204,Exclusively Breastfed for the First Two Days After Birth,2018,79.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bhutan,BT,BTN,64,Exclusively Breastfed for the First Two Days After Birth,2010,90.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Bolivia, Plurinational State of",BO,BOL,68,Exclusively Breastfed for the First Two Days After Birth,2003,67.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bolivia,BO,BOL,68,Exclusively Breastfed for the First Two Days After Birth,2003,67.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Bolivia, Plurinational State of",BO,BOL,68,Exclusively Breastfed for the First Two Days After Birth,2008,69.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bolivia,BO,BOL,68,Exclusively Breastfed for the First Two Days After Birth,2008,69.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Bolivia, Plurinational State of",BO,BOL,68,Exclusively Breastfed for the First Two Days After Birth,2016,69.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bolivia,BO,BOL,68,Exclusively Breastfed for the First Two Days After Birth,2016,69.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Bolivia, Plurinational State of",BO,BOL,68,Exclusively Breastfed for the First Two Days After Birth,2003,67.1,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bolivia,BO,BOL,68,Exclusively Breastfed for the First Two Days After Birth,2003,67.1,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Bolivia, Plurinational State of",BO,BOL,68,Exclusively Breastfed for the First Two Days After Birth,2008,72.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bolivia,BO,BOL,68,Exclusively Breastfed for the First Two Days After Birth,2008,72.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Bolivia, Plurinational State of",BO,BOL,68,Exclusively Breastfed for the First Two Days After Birth,2016,64.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bolivia,BO,BOL,68,Exclusively Breastfed for the First Two Days After Birth,2016,64.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Bolivia, Plurinational State of",BO,BOL,68,Exclusively Breastfed for the First Two Days After Birth,2003,67.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bolivia,BO,BOL,68,Exclusively Breastfed for the First Two Days After Birth,2003,67.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Bolivia, Plurinational State of",BO,BOL,68,Exclusively Breastfed for the First Two Days After Birth,2008,71.0,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bolivia,BO,BOL,68,Exclusively Breastfed for the First Two Days After Birth,2008,71.0,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Bolivia, Plurinational State of",BO,BOL,68,Exclusively Breastfed for the First Two Days After Birth,2016,67.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bolivia,BO,BOL,68,Exclusively Breastfed for the First Two Days After Birth,2016,67.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Bosnia and Herzegovina,BA,BIH,70,Exclusively Breastfed for the First Two Days After Birth,2012,73.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Burkina Faso,BF,BFA,854,Exclusively Breastfed for the First Two Days After Birth,2003,25.0,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Burkina Faso,BF,BFA,854,Exclusively Breastfed for the First Two Days After Birth,2010,64.3,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Burkina Faso,BF,BFA,854,Exclusively Breastfed for the First Two Days After Birth,2003,26.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Burkina Faso,BF,BFA,854,Exclusively Breastfed for the First Two Days After Birth,2010,61.9,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Burkina Faso,BF,BFA,854,Exclusively Breastfed for the First Two Days After Birth,2003,25.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Burkina Faso,BF,BFA,854,Exclusively Breastfed for the First Two Days After Birth,2010,63.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Burundi,BI,BDI,108,Exclusively Breastfed for the First Two Days After Birth,2010,92.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Burundi,BI,BDI,108,Exclusively Breastfed for the First Two Days After Birth,2016,93.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Burundi,BI,BDI,108,Exclusively Breastfed for the First Two Days After Birth,2010,90.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Burundi,BI,BDI,108,Exclusively Breastfed for the First Two Days After Birth,2016,93.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Burundi,BI,BDI,108,Exclusively Breastfed for the First Two Days After Birth,2010,91.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Burundi,BI,BDI,108,Exclusively Breastfed for the First Two Days After Birth,2016,93.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cambodia,KH,KHM,116,Exclusively Breastfed for the First Two Days After Birth,2000,5.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cambodia,KH,KHM,116,Exclusively Breastfed for the First Two Days After Birth,2005,55.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cambodia,KH,KHM,116,Exclusively Breastfed for the First Two Days After Birth,2010,78.8,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cambodia,KH,KHM,116,Exclusively Breastfed for the First Two Days After Birth,2014,68.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cambodia,KH,KHM,116,Exclusively Breastfed for the First Two Days After Birth,2000,5.5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cambodia,KH,KHM,116,Exclusively Breastfed for the First Two Days After Birth,2005,52.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cambodia,KH,KHM,116,Exclusively Breastfed for the First Two Days After Birth,2010,76.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cambodia,KH,KHM,116,Exclusively Breastfed for the First Two Days After Birth,2014,70.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cambodia,KH,KHM,116,Exclusively Breastfed for the First Two Days After Birth,2000,5.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cambodia,KH,KHM,116,Exclusively Breastfed for the First Two Days After Birth,2005,54.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cambodia,KH,KHM,116,Exclusively Breastfed for the First Two Days After Birth,2010,77.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cambodia,KH,KHM,116,Exclusively Breastfed for the First Two Days After Birth,2014,69.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cameroon,CM,CMR,120,Exclusively Breastfed for the First Two Days After Birth,2004,38.7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cameroon,CM,CMR,120,Exclusively Breastfed for the First Two Days After Birth,2011,46.0,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cameroon,CM,CMR,120,Exclusively Breastfed for the First Two Days After Birth,2018,62.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cameroon,CM,CMR,120,Exclusively Breastfed for the First Two Days After Birth,2004,36.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cameroon,CM,CMR,120,Exclusively Breastfed for the First Two Days After Birth,2011,45.9,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cameroon,CM,CMR,120,Exclusively Breastfed for the First Two Days After Birth,2018,61.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cameroon,CM,CMR,120,Exclusively Breastfed for the First Two Days After Birth,2004,37.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cameroon,CM,CMR,120,Exclusively Breastfed for the First Two Days After Birth,2011,46.0,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cameroon,CM,CMR,120,Exclusively Breastfed for the First Two Days After Birth,2014,49.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cameroon,CM,CMR,120,Exclusively Breastfed for the First Two Days After Birth,2018,61.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Central African Republic,CF,CAF,140,Exclusively Breastfed for the First Two Days After Birth,2019,86.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Central African Republic,CF,CAF,140,Exclusively Breastfed for the First Two Days After Birth,2019,86.9,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Central African Republic,CF,CAF,140,Exclusively Breastfed for the First Two Days After Birth,2010,80.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Central African Republic,CF,CAF,140,Exclusively Breastfed for the First Two Days After Birth,2019,86.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Chad,TD,TCD,148,Exclusively Breastfed for the First Two Days After Birth,2004,3.0,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Chad,TD,TCD,148,Exclusively Breastfed for the First Two Days After Birth,2015,11.3,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Chad,TD,TCD,148,Exclusively Breastfed for the First Two Days After Birth,2019,15.0,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Chad,TD,TCD,148,Exclusively Breastfed for the First Two Days After Birth,2004,2.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Chad,TD,TCD,148,Exclusively Breastfed for the First Two Days After Birth,2015,10.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Chad,TD,TCD,148,Exclusively Breastfed for the First Two Days After Birth,2019,13.8,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Chad,TD,TCD,148,Exclusively Breastfed for the First Two Days After Birth,2004,2.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Chad,TD,TCD,148,Exclusively Breastfed for the First Two Days After Birth,2010,9.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Chad,TD,TCD,148,Exclusively Breastfed for the First Two Days After Birth,2015,10.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Chad,TD,TCD,148,Exclusively Breastfed for the First Two Days After Birth,2019,14.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Colombia,CO,COL,170,Exclusively Breastfed for the First Two Days After Birth,2010,61.7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Colombia,CO,COL,170,Exclusively Breastfed for the First Two Days After Birth,2010,60.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Colombia,CO,COL,170,Exclusively Breastfed for the First Two Days After Birth,2010,60.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Comoros,KM,COM,174,Exclusively Breastfed for the First Two Days After Birth,2012,56.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Comoros,KM,COM,174,Exclusively Breastfed for the First Two Days After Birth,2012,51.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Comoros,KM,COM,174,Exclusively Breastfed for the First Two Days After Birth,2012,54.0,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Congo,CG,COG,178,Exclusively Breastfed for the First Two Days After Birth,2011,59.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Congo,CG,COG,178,Exclusively Breastfed for the First Two Days After Birth,2011,58.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Congo,CG,COG,178,Exclusively Breastfed for the First Two Days After Birth,2011,59.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Congo,CG,COG,178,Exclusively Breastfed for the First Two Days After Birth,2014,67.0,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Costa Rica,CR,CRI,188,Exclusively Breastfed for the First Two Days After Birth,2011,76.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Costa Rica,CR,CRI,188,Exclusively Breastfed for the First Two Days After Birth,2018,65.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cuba,CU,CUB,192,Exclusively Breastfed for the First Two Days After Birth,2010,82.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cuba,CU,CUB,192,Exclusively Breastfed for the First Two Days After Birth,2014,85.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Cuba,CU,CUB,192,Exclusively Breastfed for the First Two Days After Birth,2019,91.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Côte d'Ivoire,CI,CIV,384,Exclusively Breastfed for the First Two Days After Birth,2012,32.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ivory Coast,CI,CIV,384,Exclusively Breastfed for the First Two Days After Birth,2012,32.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Côte d'Ivoire,CI,CIV,384,Exclusively Breastfed for the First Two Days After Birth,2012,30.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ivory Coast,CI,CIV,384,Exclusively Breastfed for the First Two Days After Birth,2012,30.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Côte d'Ivoire,CI,CIV,384,Exclusively Breastfed for the First Two Days After Birth,2012,31.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ivory Coast,CI,CIV,384,Exclusively Breastfed for the First Two Days After Birth,2012,31.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Côte d'Ivoire,CI,CIV,384,Exclusively Breastfed for the First Two Days After Birth,2016,53.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ivory Coast,CI,CIV,384,Exclusively Breastfed for the First Two Days After Birth,2016,53.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Congo, the Democratic Republic of the",CD,COD,180,Exclusively Breastfed for the First Two Days After Birth,2007,82.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Congo, the Democratic Republic of the",CD,COD,180,Exclusively Breastfed for the First Two Days After Birth,2013,88.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Congo, the Democratic Republic of the",CD,COD,180,Exclusively Breastfed for the First Two Days After Birth,2017,89.8,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Congo, the Democratic Republic of the",CD,COD,180,Exclusively Breastfed for the First Two Days After Birth,2007,80.1,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Congo, the Democratic Republic of the",CD,COD,180,Exclusively Breastfed for the First Two Days After Birth,2013,86.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Congo, the Democratic Republic of the",CD,COD,180,Exclusively Breastfed for the First Two Days After Birth,2017,88.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Congo, the Democratic Republic of the",CD,COD,180,Exclusively Breastfed for the First Two Days After Birth,2007,81.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Congo, the Democratic Republic of the",CD,COD,180,Exclusively Breastfed for the First Two Days After Birth,2010,85.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Congo, the Democratic Republic of the",CD,COD,180,Exclusively Breastfed for the First Two Days After Birth,2013,87.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
"Congo, the Democratic Republic of the",CD,COD,180,Exclusively Breastfed for the First Two Days After Birth,2017,88.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Dominican Republic,DO,DOM,214,Exclusively Breastfed for the First Two Days After Birth,2002,55.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Dominican Republic,DO,DOM,214,Exclusively Breastfed for the First Two Days After Birth,2007,39.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
